slug,display_name,marker,source_short,source_title,surviving_format,state_description,bits_per_step,bounded_state,theory_class,answer_space,guess_floor,contamination_risk,depth_knob,max_depth_swept,trace_source_short,dropped,harness_depth
addition,addition†,†,Nye et al. 2021,Show Your Work: Scratchpads for Intermediate Computation with Language Models,published,partial sum digits and carry,4.3000,False,solvable/TC0,∞,0.0000,high,digits,24,Nye et al. 2021,False,digit columns
blocksworld,blocksworld,,Stechly et al. 2024,Chain of Thoughtlessness? An Analysis of CoT in Planning,published,block stacking configuration,6.0000,True,solvable/TC0,∞,0.0000,medium,blocks (number of blocks in the domain),24,Stechly et al. 2024,False,actions executed
boolean_expressions,boolean_expressions,,Suzgun et al. 2022,Challenging BIG-Bench Tasks and Whether Chain-of-Thought Can Solve Them,published,partially reduced boolean expression,1.0000,True,NC1-hard,2,0.5000,medium,nesting depth,20,Suzgun et al. 2022,False,named sub-expression resolutions
cellular_automaton,cellular_automaton*,*,Neary & Woods 2006,P-completeness of Cellular Automaton Rule 110,cells3,row of 8 binary cells,8.0000,True,P-complete,256,0.0039,low,depth,24,none (format is ours),False,generations
cruxeval,cruxeval,,Gu et al. 2024,"CRUXEval: A Benchmark for Code Reasoning, Understanding and Execution",published,program variable values,,False,P-complete,∞,0.0000,high,executed-line,15,Gu et al. 2024,False,executed statements
cup_shuffling,cup_shuffling,,Suzgun et al. 2022,Challenging BIG-Bench Tasks and Whether Chain-of-Thought Can Solve Them,published,permutation of objects over people,2.6000,True,NC1-hard,3,0.3333,high,n (number of people/objects),24,Suzgun et al. 2022,False,pairwise swaps
dyck,dyck,,Suzgun et al. 2022,Challenging BIG-Bench Tasks and Whether Chain-of-Thought Can Solve Them,published,stack contents,2.0000,False,unclear,∞,0.0000,medium,"prefix length, k (number of bracket types), max stack depth",64,Suzgun et al. 2022,False,input symbols (stack updates)
entity_tracking_boxes,entity_tracking_boxes*,*,Kim & Schuster 2023,Entity Tracking in Language Models,ours,contents of every box,94.6000,True,unclear,∞,0.0000,low,numops (number of operations affecting the queried box),36,none (format is ours),False,box operations
hanoi,hanoi,,Shojaee et al. 2025,The Illusion of Thinking: Understanding the Strengths and Limitations of Reasoning Models via the Lens of Problem Complexity,execute,disks on three pegs,4.8000,True,solvable/TC0,∞,0.0000,high,disks (N),80,Shojaee et al. 2025,False,moves
multiplication,multiplication,,Dziri et al. 2023,Faith and Fate: Limits of Transformers on Compositionality,published,partial products and running sum,6.5000,False,unclear,∞,0.0000,medium,"digits (per-operand digit count, via the vendored generator's --num_digit sweep; can be set independently for x and y, typically driven symmetrically for depth-scaling)",30,Dziri et al. 2023,True,numbered steps = digits_y*(digits_x+1)
nested_arithmetic,nested_arithmetic,,Suzgun et al. 2022,Challenging BIG-Bench Tasks and Whether Chain-of-Thought Can Solve Them,published,values of evaluated sub-expressions,11.3000,False,NC1-hard,∞,0.0000,medium,nesting depth,40,Suzgun et al. 2022,False,sub-expression reductions
random_lookup_table,random_lookup_table†,†,Ramesh et al. 2024,"Compositional Capabilities of Autoregressive Transformers: A Study on Synthetic, Interpretable Tasks",ergonomic,current symbol,3.3000,True,NC1-hard,10,0.1000,low,function.depth (repo config/gen/conf.yaml),48,Ramesh et al. 2024,False,table applications
s5_composition,s5_composition†,†,Liu et al. 2022,Transformers Learn Shortcuts to Automata,ergonomic,permutation of 5,6.9000,True,NC1-hard,120,0.0083,low,"depth (called story_length in the repo's CLI, --story-length)",32,"Li et al. 2025, (How) Do Language Models Track State?",False,permutations composed
synthetic_program_trace,synthetic_program_trace†,†,Nye et al. 2021,Show Your Work: Scratchpads for Intermediate Computation with Language Models,published,integer variable assignments,20.0000,False,solvable/TC0,∞,0.0000,low,depth,128,Nye et al. 2021,False,executed statements
threesum,threesum†,†,Pfau et al. 2024,Let's Think Dot by Dot: Hidden Computation in Transformer Language Models,ergonomic,enumeration position (implicit) and hit flag,3.3000,False,solvable/TC0,2,0.5000,low,"length (n, number of input tuples; dimension and mod held fixed at 3 and 10)",36,Pfau et al. 2024,False,candidate-triple checks in the gold trace
turing_machine,turing_machine,,Wu et al. 2025,Computational Reasoning of Large Language Models (TMBench),published,tag-system symbol queue,10.2000,True,P-complete,64,0.0156,low,depth,30,Wu et al. 2025,False,tag-system rewrite steps
