slug,display_name,marker,source_short,format,state_description,bits_per_step,answer_space,tok_per_step_9b,tok_per_step_ds,passes_qwen9b,passes_llama70b,passes_ds,models_passing,deepest_passing_depth_any,best_gap_any,filler_recovery,knockout_shape,cont_redacted,cont_plain,goldko_dm1,mean_propagation,self_checking,published_format_passes_anywhere,passes_dspro,primary,knockout_shape_source,batch2_model,batch2_depth,batch3_depth
addition,addition†,†,Nye et al. 2021,published,partial sum digits and carry,4.3000,∞,,30.4400,False,False,True,1,2,0.9200,0.9200,early,,,,,n/a,,,True,batch2 line-fraction knockout,ds,2,
blocksworld,blocksworld,,Stechly et al. 2024,published,block stacking configuration,6.0000,∞,205.9700,91.4758,True,True,True,3,24,0.3800,0.0200,early,0.7600,0.9400,,,n/a,,,True,batch2 line-fraction knockout,qwen9b,2,
boolean_expressions,boolean_expressions,,Suzgun et al. 2022,published,partially reduced boolean expression,1.0000,2,43.1650,43.5000,True,True,True,3,12,0.4000,0.1800,flat,1.0000,1.0000,,,n/a,,,True,batch2 line-fraction knockout,qwen9b,12,
cellular_automaton,cellular_automaton*,*,Neary & Woods 2006,cells2,row of 8 binary cells,8.0000,256,,123.6600,False,,True,1,1,0.7600,,n/a,,,,,n/a,False,,False,,,,
cellular_automaton,cellular_automaton*,*,Neary & Woods 2006,cells3,row of 8 binary cells,8.0000,256,371.0000,320.0000,True,,True,2,4,0.9800,,decided_at_end,,,0.0000,0.8800,no,False,,True,batch3 gold step-aligned knockout (goldko@3d/4 vs no-CoT),,,3
cruxeval,cruxeval,,Gu et al. 2024,published,program variable values,,∞,49.4700,42.4067,True,False,True,2,12,0.4200,-0.0400,early,0.3600,0.7200,,,n/a,,,True,batch2 line-fraction knockout,qwen9b,6,
cup_shuffling,cup_shuffling,,Suzgun et al. 2022,published,permutation of objects over people,2.6000,3,27.4767,38.1467,True,True,True,3,24,0.7800,-0.0800,decided_at_end,0.3000,0.9800,0.4000,0.7267,no,,,True,batch2 line-fraction knockout,qwen9b,12,12
dyck,dyck,,Suzgun et al. 2022,published,stack contents,2.0000,∞,20.0225,12.6125,True,True,True,3,48,0.6800,-0.0600,decided_at_end,0.3800,0.8800,0.0200,0.5333,weak,,,True,batch2 line-fraction knockout,qwen9b,8,8
entity_tracking_boxes,entity_tracking_boxes*,*,Kim & Schuster 2023,ours,contents of every box,94.6000,∞,22.6650,21.2339,True,False,True,2,36,0.4200,-0.0400,unclassified,0.2800,0.7800,,,n/a,,,True,batch2 line-fraction knockout,qwen9b,8,
hanoi,hanoi,,Shojaee et al. 2025,execute,disks on three pegs,4.8000,∞,30.7000,44.5112,True,,True,2,32,0.9800,,decided_at_end,,,0.0000,0.3333,yes,False,,True,batch3 gold step-aligned knockout (goldko@3d/4 vs no-CoT),,,16
multiplication,multiplication,,Dziri et al. 2023,published,partial products and running sum,6.5000,∞,,,False,False,,0,,,,n/a,,,,,n/a,,,True,,,,
nested_arithmetic,nested_arithmetic,,Suzgun et al. 2022,published,values of evaluated sub-expressions,11.3000,∞,85.6829,62.6829,True,True,True,3,20,0.9600,0.0000,decided_at_end,1.0000,1.0000,0.4200,0.9600,no,,,True,batch2 line-fraction knockout,qwen9b,7,7
random_lookup_table,random_lookup_table†,†,Ramesh et al. 2024,published,current symbol,3.3000,10,,18.7108,False,False,True,1,48,0.8600,-0.0200,decided_at_end,0.6800,0.8800,,,n/a,,,False,batch2 line-fraction knockout,ds,24,
random_lookup_table,random_lookup_table†,†,Ramesh et al. 2024,ergonomic,current symbol,3.3000,10,26.6250,25.5825,True,,True,2,48,0.9600,,decided_at_end,,,0.1000,0.9933,no,True,,True,batch3 gold step-aligned knockout (goldko@3d/4 vs no-CoT),,,24
s5_composition,s5_composition†,†,Liu et al. 2022,published,permutation of 5,6.9000,120,,84.5888,False,False,True,1,16,0.8800,0.0200,decided_at_end,0.0000,0.0000,,,n/a,,False,False,batch2 line-fraction knockout,ds,16,
s5_composition,s5_composition†,†,Liu et al. 2022,ergonomic,permutation of 5,6.9000,120,61.5000,46.5000,True,,True,2,16,1.0000,,decided_at_end,,,0.0400,0.8867,no,True,,True,batch3 gold step-aligned knockout (goldko@3d/4 vs no-CoT),,,8
synthetic_program_trace,synthetic_program_trace†,†,Nye et al. 2021,published,integer variable assignments,20.0000,∞,30.2844,19.6531,True,True,True,3,72,1.0000,-0.0400,decided_at_end,0.9600,0.9600,1.0000,0.6467,no,,,True,batch2 line-fraction knockout,qwen9b,32,32
threesum,threesum†,†,Pfau et al. 2024,ergonomic,enumeration position (implicit) and hit flag,3.3000,2,560.2700,398.4750,True,,True,2,12,0.5200,,decided_at_end,,,0.4600,-0.1067,no,False,,True,batch3 gold step-aligned knockout (goldko@3d/4 vs no-CoT),,,8
turing_machine,turing_machine,,Wu et al. 2025,published,tag-system symbol queue,10.2000,64,70.9400,56.0100,True,True,True,3,30,1.0000,-0.0200,decided_at_end,0.2000,0.9200,0.0000,0.5133,no,,,True,batch2 line-fraction knockout,qwen9b,2,4
